User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U0,49,Female,Student,iOS,4.2,2.5,2,5.1,1,51,4,6.1
U1,31,Male,Professional,iOS,6.8,4.3,2,6.1,1,83,3,8.1
U2,27,Male,Freelancer,iOS,5.0,4.3,1,5.2,1,46,2,6.9
U3,30,Male,Professional,Android,4.6,3.3,2,5.7,1,58,1,6.6
U4,50,Male,Professional,iOS,6.7,5.6,1,6.4,1,83,2,9.7
U5,25,Female,Student,Android,8.0,4.3,3,7.3,1,110,1,8.0
U6,22,Male,Student,Android,8.5,4.4,2,5.1,1,120,0,11.4
U7,35,Female,Student,iOS,4.6,3.4,2,6.5,1,40,4,7.1
U8,22,Male,Freelancer,Android,5.9,4.7,2,7.3,1,66,2,6.8
U9,57,Male,Professional,iOS,2.2,1.3,3,7.5,1,28,1,3.4
U10,49,Female,Professional,iOS,3.6,2.2,2,6.4,1,32,2,5.4
U11,21,Female,Student,iOS,6.8,4.9,2,6.2,1,89,2,9.1
U12,19,Male,Freelancer,Android,3.5,2.6,2,5.0,1,47,1,4.8
U13,26,Female,Freelancer,Android,8.6,7.2,1,5.8,1,109,1,9.5
U14,22,Female,Student,Android,7.9,5.7,1,5.6,3,112,4,8.2
U15,59,Female,Student,Android,6.1,3.2,3,7.9,1,87,0,8.6
U16,59,Male,Freelancer,iOS,4.7,2.8,3,5.5,1,62,4,4.8
U17,39,Male,Student,Android,4.6,3.0,4,6.3,1,49,4,7.3
U18,45,Male,Professional,Android,5.1,2.1,3,6.1,1,75,3,6.6
U19,22,Female,Professional,Android,4.8,2.9,1,5.7,1,46,4,5.2
U20,19,Male,Student,Android,6.7,5.8,3,6.8,2,99,3,9.1
U21,18,Female,Professional,iOS,4.3,2.2,2,5.3,1,48,4,5.2
U22,25,Female,Professional,Android,5.9,3.9,2,5.5,1,83,0,6.8
U23,30,Male,Freelancer,iOS,8.7,5.9,2,8.0,1,126,1,11.5
U24,45,Female,Professional,Android,6.1,3.7,3,6.8,1,55,1,6.7
